OBS_DATE,NZDI_INDICATOR,VAL
2007-04-25,PED,0.42
2007-04-25,SMD,0.92
2007-04-25,SMDA,0.52
2007-04-25,SPI,0.47
2007-04-26,NZDI,0.58
2007-04-26,PED,0.42
2007-04-26,SMD,0.91
2007-04-26,SMDA,0.53
2007-04-26,SPI,0.47
2007-04-27,NZDI,0.58
2007-04-27,PED,0.41
2007-04-27,SMD,0.89
2007-04-27,SMDA,0.54
2007-04-27,SPI,0.47
2007-04-28,NZDI,0.57
2007-04-28,PED,0.4
2007-04-28,SMD,0.87
2007-04-28,SMDA,0.55
2007-04-28,SPI,0.47
2007-04-29,NZDI,0.56
2007-04-29,PED,0.38
2007-04-29,SMD,0.86
2007-04-29,SMDA,0.55
2007-04-29,SPI,0.46
2007-04-30,NZDI,0.55
2007-04-30,PED,0.36
2007-04-30,SMD,0.83
2007-04-30,SMDA,0.56
2007-04-30,SPI,0.45
2007-05-01,NZDI,0.54
2007-05-01,PED,0.35
2007-05-01,SMD,0.82
2007-05-01,SMDA,0.56
2007-05-01,SPI,0.44
2007-05-02,NZDI,0.5
2007-05-02,PED,0.34
2007-05-02,SMD,0.72
2007-05-02,SMDA,0.49
2007-05-02,SPI,0.42
2007-05-03,NZDI,0.48
2007-05-03,PED,0.32
2007-05-03,SMD,0.7
2007-05-03,SMDA,0.48
2007-05-03,SPI,0.41
2007-05-04,NZDI,0.5
2007-05-04,PED,0.32
2007-05-04,SMD,0.75
2007-05-04,SMDA,0.53
2007-05-04,SPI,0.38
2007-05-05,NZDI,0.48
2007-05-05,PED,0.31
2007-05-05,SMD,0.72
2007-05-05,SMDA,0.51
2007-05-05,SPI,0.36
2007-05-06,NZDI,0.46
2007-05-06,PED,0.29
2007-05-06,SMD,0.71
2007-05-06,SMDA,0.5
2007-05-06,SPI,0.34
2007-05-07,NZDI,0.45
2007-05-07,PED,0.29
2007-05-07,SMD,0.69
2007-05-07,SMDA,0.5
2007-05-07,SPI,0.32
2007-05-08,NZDI,0.41
2007-05-08,PED,0.28
2007-05-08,SMD,0.61
2007-05-08,SMDA,0.44
2007-05-08,SPI,0.31
2007-05-09,NZDI,0.4
2007-05-09,PED,0.28
2007-05-09,SMD,0.59
2007-05-09,SMDA,0.43
2007-05-09,SPI,0.3
2007-05-10,NZDI,0.42
2007-05-10,PED,0.27
2007-05-10,SMD,0.64
2007-05-10,SMDA,0.48
2007-05-10,SPI,0.29
2007-05-11,NZDI,0.38
2007-05-11,PED,0.27
2007-05-11,SMD,0.57
2007-05-11,SMDA,0.43
2007-05-11,SPI,0.26
2007-05-12,NZDI,0.4
2007-05-12,PED,0.26
2007-05-12,SMD,0.61
2007-05-12,SMDA,0.49
2007-05-12,SPI,0.26
2007-05-13,NZDI,0.42
2007-05-13,PED,0.26
2007-05-13,SMD,0.62
2007-05-13,SMDA,0.52
2007-05-13,SPI,0.27
2007-05-14,NZDI,0.39
2007-05-14,PED,0.26
2007-05-14,SMD,0.56
2007-05-14,SMDA,0.47
2007-05-14,SPI,0.29
2007-05-15,NZDI,0.4
2007-05-15,PED,0.26
2007-05-15,SMD,0.55
2007-05-15,SMDA,0.49
2007-05-15,SPI,0.31
2007-05-16,NZDI,0.44
2007-05-16,PED,0.26
2007-05-16,SMD,0.6
2007-05-16,SMDA,0.58
2007-05-16,SPI,0.33
2007-05-17,NZDI,0.42
2007-05-17,PED,0.26
2007-05-17,SMD,0.55
2007-05-17,SMDA,0.54
2007-05-17,SPI,0.34
2007-05-18,NZDI,0.46
2007-05-18,PED,0.26
2007-05-18,SMD,0.59
2007-05-18,SMDA,0.63
2007-05-18,SPI,0.36
2007-05-19,NZDI,0.44
2007-05-19,PED,0.26
2007-05-19,SMD,0.54
2007-05-19,SMDA,0.6
2007-05-19,SPI,0.38
2007-05-20,NZDI,0.46
2007-05-20,PED,0.27
2007-05-20,SMD,0.53
2007-05-20,SMDA,0.63
2007-05-20,SPI,0.41
2007-05-21,NZDI,0.47
2007-05-21,PED,0.27
2007-05-21,SMD,0.53
2007-05-21,SMDA,0.65
2007-05-21,SPI,0.43
2007-05-22,NZDI,0.52
2007-05-22,PED,0.28
2007-05-22,SMD,0.58
2007-05-22,SMDA,0.77
2007-05-22,SPI,0.45
2007-05-23,NZDI,0.53
2007-05-23,PED,0.28
2007-05-23,SMD,0.58
2007-05-23,SMDA,0.8
2007-05-23,SPI,0.47
2007-05-24,NZDI,0.55
2007-05-24,PED,0.3
2007-05-24,SMD,0.57
2007-05-24,SMDA,0.84
2007-05-24,SPI,0.49
2007-05-25,NZDI,0.56
2007-05-25,PED,0.29
2007-05-25,SMD,0.57
2007-05-25,SMDA,0.87
2007-05-25,SPI,0.51
2007-05-26,NZDI,0.55
2007-05-26,PED,0.32
2007-05-26,SMD,0.52
2007-05-26,SMDA,0.84
2007-05-26,SPI,0.53
2007-05-27,NZDI,0.61
2007-05-27,PED,0.34
2007-05-27,SMD,0.56
2007-05-27,SMDA,0.97
2007-05-27,SPI,0.55
2007-05-28,NZDI,0.63
2007-05-28,PED,0.35
2007-05-28,SMD,0.56
2007-05-28,SMDA,1.04
2007-05-28,SPI,0.58
2007-05-29,NZDI,0.65
2007-05-29,PED,0.36
2007-05-29,SMD,0.56
2007-05-29,SMDA,1.09
2007-05-29,SPI,0.6
2007-05-30,NZDI,0.67
2007-05-30,PED,0.36
2007-05-30,SMD,0.56
2007-05-30,SMDA,1.14
2007-05-30,SPI,0.63
2007-05-31,NZDI,0.7
2007-05-31,PED,0.37
2007-05-31,SMD,0.57
2007-05-31,SMDA,1.2
2007-05-31,SPI,0.66
2007-06-01,NZDI,0.73
2007-06-01,PED,0.38
2007-06-01,SMD,0.57
2007-06-01,SMDA,1.26
2007-06-01,SPI,0.7
2007-06-02,NZDI,0.76
2007-06-02,PED,0.38
2007-06-02,SMD,0.58
2007-06-02,SMDA,1.34
2007-06-02,SPI,0.74
2007-06-03,NZDI,0.79
2007-06-03,PED,0.38
2007-06-03,SMD,0.59
2007-06-03,SMDA,1.4
2007-06-03,SPI,0.79
2007-06-04,NZDI,0.82
2007-06-04,PED,0.38
2007-06-04,SMD,0.6
2007-06-04,SMDA,1.48
2007-06-04,SPI,0.83
2007-06-05,NZDI,0.85
2007-06-05,PED,0.38
2007-06-05,SMD,0.61
2007-06-05,SMDA,1.55
2007-06-05,SPI,0.86
2007-06-06,NZDI,0.88
2007-06-06,PED,0.39
2007-06-06,SMD,0.62
2007-06-06,SMDA,1.61
2007-06-06,SPI,0.91
2007-06-07,NZDI,0.9
2007-06-07,PED,0.38
2007-06-07,SMD,0.62
2007-06-07,SMDA,1.66
2007-06-07,SPI,0.95
2007-06-08,NZDI,0.93
2007-06-08,PED,0.38
2007-06-08,SMD,0.63
2007-06-08,SMDA,1.72
2007-06-08,SPI,0.99
2007-06-09,NZDI,0.95
2007-06-09,PED,0.38
2007-06-09,SMD,0.63
2007-06-09,SMDA,1.78
2007-06-09,SPI,1.02
2007-06-10,NZDI,0.97
2007-06-10,PED,0.37
2007-06-10,SMD,0.64
2007-06-10,SMDA,1.83
2007-06-10,SPI,1.05
2007-06-11,NZDI,1
2007-06-11,PED,0.37
2007-06-11,SMD,0.64
2007-06-11,SMDA,1.89
2007-06-11,SPI,1.08
2007-06-12,NZDI,1.04
2007-06-12,PED,0.37
2007-06-12,SMD,0.66
2007-06-12,SMDA,1.98
2007-06-12,SPI,1.14
2007-06-13,NZDI,1.06
2007-06-13,PED,0.36
2007-06-13,SMD,0.66
2007-06-13,SMDA,2.04
2007-06-13,SPI,1.19
2007-06-14,NZDI,1.08
2007-06-14,PED,0.29
2007-06-14,SMD,0.68
2007-06-14,SMDA,2.11
2007-06-14,SPI,1.23
2007-06-15,NZDI,1.09
2007-06-15,PED,0.26
2007-06-15,SMD,0.68
2007-06-15,SMDA,2.16
2007-06-15,SPI,1.28
2007-06-16,NZDI,1.11
2007-06-16,PED,0.26
2007-06-16,SMD,0.68
2007-06-16,SMDA,2.18
2007-06-16,SPI,1.3
2007-06-17,NZDI,1.12
2007-06-17,PED,0.26
2007-06-17,SMD,0.68
2007-06-17,SMDA,2.22
2007-06-17,SPI,1.33
2007-06-18,NZDI,1.14
2007-06-18,PED,0.26
2007-06-18,SMD,0.68
2007-06-18,SMDA,2.25
2007-06-18,SPI,1.36
2007-06-19,NZDI,1.15
2007-06-19,PED,0.26
2007-06-19,SMD,0.68
2007-06-19,SMDA,2.28
2007-06-19,SPI,1.38
2007-06-20,NZDI,1.16
2007-06-20,PED,0.25
2007-06-20,SMD,0.68
2007-06-20,SMDA,2.31
2007-06-20,SPI,1.41
2007-06-21,NZDI,1.17
2007-06-21,PED,0.25
2007-06-21,SMD,0.68
2007-06-21,SMDA,2.32
2007-06-21,SPI,1.43
2007-06-22,NZDI,1.17
2007-06-22,PED,0.25
2007-06-22,SMD,0.67
2007-06-22,SMDA,2.33
2007-06-22,SPI,1.44
2007-06-23,NZDI,1.17
2007-06-23,PED,0.25
2007-06-23,SMD,0.66
2007-06-23,SMDA,2.33
2007-06-23,SPI,1.45
2007-06-24,NZDI,1.17
2007-06-24,PED,0.25
2007-06-24,SMD,0.65
2007-06-24,SMDA,2.33
2007-06-24,SPI,1.46
2007-06-25,NZDI,1.18
2007-06-25,PED,0.25
2007-06-25,SMD,0.66
2007-06-25,SMDA,2.32
2007-06-25,SPI,1.47
2007-06-26,NZDI,1.15
2007-06-26,PED,0.25
2007-06-26,SMD,0.62
2007-06-26,SMDA,2.25
2007-06-26,SPI,1.47
2007-06-27,NZDI,1.14
2007-06-27,PED,0.25
2007-06-27,SMD,0.61
2007-06-27,SMDA,2.23
2007-06-27,SPI,1.47
2007-06-28,NZDI,1.13
2007-06-28,PED,0.23
2007-06-28,SMD,0.6
2007-06-28,SMDA,2.22
2007-06-28,SPI,1.48
2007-06-29,NZDI,1.1
2007-06-29,PED,0.2
2007-06-29,SMD,0.58
