"au_code","au_name","Maori_2001","Maori_2006","Maori_2013","Total_2001","Total_2006","Total_2013","per_01","per_06","per_13"
513610,"Massey West",6,6,6,324,351,351,0.0185185185185185,0.0170940170940171,0.0170940170940171
513621,"Birdwood West",6,9,15,453,480,507,0.0132450331125828,0.01875,0.029585798816568
513622,"Birdwood East",21,30,33,840,894,1458,0.025,0.0335570469798658,0.0226337448559671
513631,"Waimumu North",195,201,183,4503,5280,5739,0.0433044636908727,0.0380681818181818,0.0318870883429169
513632,"Waimumu South",135,144,96,3753,3849,3993,0.0359712230215827,0.0374123148869836,0.0240420736288505
513701,"Taupaki",6,9,6,804,834,882,0.00746268656716418,0.0107913669064748,0.00680272108843537
513702,"Waitakere",24,45,27,1863,1902,1968,0.0128824476650564,0.0236593059936909,0.013719512195122
513800,"Karekare",54,60,51,2400,2466,2562,0.0225,0.024330900243309,0.0199063231850117
514000,"Freemans Bay",138,99,63,3735,3708,3765,0.0369477911646586,0.0266990291262136,0.0167330677290837
514101,"Auckland Harbourside",18,24,57,1509,2793,4500,0.0119284294234592,0.00859291084854995,0.0126666666666667
514102,"Auckland Central West",69,105,144,3255,7986,11700,0.0211981566820276,0.0131480090157776,0.0123076923076923
514103,"Auckland Central East",63,69,90,3528,7158,10104,0.0178571428571429,0.009639564124057,0.00890736342042755
514200,"Newton",27,39,30,837,1176,1644,0.032258064516129,0.0331632653061225,0.0182481751824818
514301,"Grafton West",18,24,51,1044,2247,3387,0.0172413793103448,0.0106809078771696,0.0150575730735164
514302,"Grafton East",33,27,27,1008,1017,1071,0.0327380952380952,0.0265486725663717,0.0252100840336134
514401,"Roberton",126,135,126,4455,4866,5280,0.0282828282828283,0.0277435265104809,0.0238636363636364
514402,"Glenavon",120,132,135,5073,5703,6381,0.0236546422235364,0.0231457127827459,0.0211565585331453
514500,"New Windsor",69,78,69,5787,6453,6468,0.0119232763089684,0.0120874012087401,0.0106679035250464
514600,"Avondale South",108,75,69,4503,5166,5451,0.0239840106595603,0.0145180023228804,0.0126582278481013
514700,"Blockhouse Bay",63,60,72,5457,5859,6132,0.011544804837823,0.0102406554019457,0.0117416829745597
514801,"Rosebank",180,162,123,4158,4551,4557,0.0432900432900433,0.035596572181938,0.0269914417379855
514802,"Avondale West",156,123,111,3948,4767,4854,0.0395136778115502,0.025802391441158,0.0228677379480841
514900,"Waterview",93,102,75,3066,3378,3330,0.0303326810176125,0.0301953818827709,0.0225225225225225
515001,"Point Chevalier West",69,54,57,3324,3390,3627,0.0207581227436823,0.015929203539823,0.0157154673283706
515002,"Point Chevalier East",93,72,90,4104,4242,4536,0.0226608187134503,0.016973125884017,0.0198412698412698
515003,"Point Chevalier South",78,66,51,1491,1593,1644,0.0523138832997988,0.0414312617702448,0.031021897810219
515100,"Westmere",102,84,93,4509,4719,5088,0.0226214238190286,0.0178003814367451,0.0182783018867925
